Comuna,Frecuencia casos policiales robo lugar no habitado (DMCS 2008-2019)
Algarrobo,798
Alhué,245
Alto biobío,119
Alto del carmen,74
Alto hospicio,2556
Ancud,1188
Andacollo,272
Angol,2092
Antofagasta,10329
Antuco,137
Arauco,1301
Arica,4525
Aysén,708
Buin,3253
Bulnes,687
Cabildo,642
Cabo de hornos,27
Cabrero,1066
Calama,6372
Calbuco,785
Caldera,1203
Calera de tango,1401
Calle larga,421
Camarones,32
Camiña,9
Canela,226
Cañete,1341
Carahue,603
Cartagena,1088
Casablanca,1363
Castro,1843
Catemu,539
Cauquenes,1105
Cerrillos,3219
Cerro navia,2116
Chaitén,161
Chanco,219
Chañaral,777
Chépica,277
Chiguayante,1669
Chile chico,210
Chillán,6121
Chillán viejo,868
Chimbarongo,1062
Cholchol,267
Chonchi,349
Cisnes,161
Cobquecura,160
Cochamó,81
Cochrane,97
Codegua,728
Coelemu,493
Coihueco,524
Coinco,191
Colbún,451
Colchane,35
Colina,4605
Collipulli,870
Coltauco,488
Combarbalá,292
Concepción,14978
Conchalí,3238
Concón,1742
Constitución,1413
Contulmo,219
Copiapó,8354
Coquimbo,6887
Coronel,4801
Corral,176
Coyhaique,2155
Cunco,354
Curacautín,375
Curacaví,1218
Curaco de vélez,55
Curanilahue,1345
Curarrehue,230
Curepto,188
Curicó,6804
Dalcahue,312
Diego de almagro,493
Doñihue,846
El bosque,2757
El carmen,299
El monte,1266
El quisco,666
El tabo,501
Empedrado,94
Ercilla,382
Estación central,5118
Florida,507
Freire,683
Freirina,210
Fresia,287
Frutillar,596
Futaleufú,40
Futrono,408
Galvarino,253
General lagos,15
Gorbea,600
Graneros,1255
Guaitecas,54
Hijuelas,602
Hualaihué,228
Hualañé,182
Hualpén,2235
Hualqui,699
Huara,159
Huasco,297
Huechuraba,3365
Illapel,1339
Independencia,3307
Iquique,6700
Isla de maipo,1138
Isla de pascua,328
Juan fernández,16
La calera,1830
La cisterna,3026
La cruz,856
La estrella,104
La florida,8597
La granja,2322
La higuera,328
La ligua,1247
La pintana,3183
La reina,2910
La serena,7281
La unión,985
Lago ranco,281
Lago verde,27
Laguna blanca,8
Laja,557
Lampa,3956
Lanco,453
Las cabras,824
Las condes,8741
Lautaro,1115
Lebu,1000
Licantén,257
Limache,1526
Linares,3813
Litueche,199
Llaillay,954
Llanquihue,417
Lo barnechea,1932
Lo espejo,1819
Lo prado,1807
Lolol,268
Loncoche,873
Longaví,702
Lonquimay,136
Los álamos,657
Los andes,2453
Los ángeles,8576
Los lagos,652
Los muermos,279
Los sauces,235
Los vilos,920
Lota,2331
Lumaco,232
Machalí,1765
Macul,2807
Máfil,219
Maipú,8812
Malloa,428
Marchigüe,240
Maria elena,343
Maria pinto,487
Mariquina,785
Maule,1081
Maullín,331
Mejillones,651
Melipeuco,161
Melipilla,5739
Molina,1750
Monte patria,620
Mostazal,1388
Mulchén,937
Nacimiento,652
Nancagua,479
Natales,444
Navidad,154
Negrete,231
Ninhue,91
Nogales,676
Nueva imperial,751
Ñiquén,229
Ñuñoa,8241
O'higgins,19
Olivar,629
Ollagüe,5
Olmué,461
Osorno,4527
Ovalle,4023
Padre hurtado,1091
Padre las casas,1837
Paiguano,177
Paillaco,508
Paine,2114
Palena,53
Palmilla,326
Panguipulli,998
Panquehue,305
Papudo,194
Paredones,84
Parral,1686
Pedro aguirre cerda,1623
Pelarco,272
Pelluhue,299
Pemuco,272
Pencahue,233
Penco,1680
Peñaflor,2225
Peñalolén,3908
Peralillo,308
Perquenco,153
Petorca,247
Peumo,693
Pica,274
Pichidegua,546
Pichilemu,493
Pinto,328
Pirque,865
Pitrufquén,769
Placilla,301
Portezuelo,53
Porvenir,201
Pozo almonte,680
Primavera,40
Providencia,12146
Puchuncaví,1178
Pucón,1420
Pudahuel,5212
Puente alto,9086
Puerto montt,11309
Puerto octay,292
Puerto varas,1713
Pumanque,82
Punitaqui,340
Punta arenas,2322
Puqueldón,60
Purén,270
Purranque,484
Putaendo,567
Putre,31
Puyehue,353
Queilén,72
Quellón,950
Quemchi,152
Quilaco,73
Quilicura,6477
Quilleco,189
Quillón,661
Quillota,3298
Quilpué,4125
Quinchao,154
Quinta de tilcoco,310
Quinta normal,4819
Quintero,1359
Quirihue,327
Rancagua,10134
Ránquil,138
Rauco,273
Recoleta,6560
Renaico,355
Renca,3672
Rengo,2231
Requínoa,1189
Retiro,560
Rinconada,388
Río bueno,865
Río claro,441
Río hurtado,63
Río ibáñez,91
Río negro,344
Río verde,12
Romeral,558
Saavedra,270
Sagrada familia,528
Salamanca,875
San antonio,5121
San bernardo,8594
San carlos,1663
San clemente,783
San esteban,724
San fabián,213
San felipe,3702
San fernando,3158
San gregorio,39
San ignacio,273
San javier,1379
San joaquín,2611
San josé de maipo,695
San juan de la costa,370
San miguel,4162
San nicolás,312
San pablo,308
San pedro,590
San pedro de atacama,288
San pedro de la paz,3630
San rafael,253
San ramón,1768
San rosendo,101
San vicente,1448
Santa bárbara,510
Santa cruz,1250
Santa juana,457
Santa maria,651
Santiago,24349
Santo domingo,516
Sierra gorda,444
Talagante,2712
Talca,7939
Talcahuano,5304
Taltal,561
Temuco,10542
Teno,843
Teodoro schmidt,342
Tierra amarilla,1231
Tiltil,912
Timaukel,6
Tirúa,621
Tocopilla,1432
Toltén,198
Tome,1669
Torres del paine,11
Tortel,7
Traiguén,560
Treguaco,110
Tucapel,429
Valdivia,5764
Vallenar,1630
Valparaíso,10595
Vichuquén,149
Victoria,1176
Vicuña,1062
Vilcún,816
Villa alegre,457
Villa alemana,2927
Villarrica,2180
Viña del mar,9691
Vitacura,4079
Yerbas buenas,446
Yumbel,647
Yungay,675
Zapallar,405
